Wall time,Step,Value
1715209042.4691544,10000,-1.273227334022522
1715209078.33892,20000,-0.8690910339355469
1715209111.8898358,30000,-0.7285747528076172
1715209146.48822,40000,-0.3593350052833557
1715209179.8787246,50000,-0.6366250514984131
1715209213.2948883,60000,-0.21989570558071136
1715209246.8902667,70000,-0.33607611060142517
1715209279.6885536,80000,-0.17230869829654694
1715209312.546119,90000,-0.19772307574748993
1715209345.4313369,100000,-0.1956806480884552
1715209377.2979329,110000,-0.12490115314722061
1715209409.8590436,120000,-0.10075555741786957
1715209442.2408078,130000,-0.09214126318693161
1715209475.0612254,140000,-0.22231172025203705
1715209508.325739,150000,-0.1740921288728714
1715209540.662604,160000,-0.10034722834825516
1715209573.7112522,170000,-0.17456459999084473
1715209606.4096036,180000,-0.12471840530633926
1715209639.8931637,190000,-0.13550131022930145
1715209674.2436883,200000,-0.16206631064414978
1715209707.9277668,210000,-0.050286538898944855
1715209741.1920254,220000,-0.12158694118261337
1715209774.3576539,230000,-0.18299973011016846
1715209808.2537315,240000,-0.013417620211839676
1715209840.8857222,250000,-0.0993054062128067
1715209874.6652956,260000,-0.061899349093437195
1715209907.3819888,270000,-0.2057330310344696
1715209940.5670009,280000,-0.10761702060699463
1715209974.1273775,290000,-0.08515213429927826
1715210006.779475,300000,-0.12025938183069229
1715210040.3103938,310000,-0.061453286558389664
1715210073.4299634,320000,-0.013104215264320374
1715210105.8431702,330000,-0.08796112984418869
1715210139.1856441,340000,-0.07310222834348679
1715210173.101768,350000,-0.047640349715948105
1715210206.2824917,360000,-0.1618504673242569
1715210240.2465558,370000,-0.09950638562440872
1715210272.864279,380000,-0.04577810689806938
1715210307.0627532,390000,-0.06463760882616043
1715210341.7645764,400000,-0.1559205800294876
1715210376.0323217,410000,-0.05207057297229767
1715210410.36573,420000,-0.06104839965701103
1715210443.6354334,430000,-0.010665076784789562
1715210478.019604,440000,-0.0737411379814148
1715210511.6614366,450000,-0.03825028985738754
1715210545.0940611,460000,-0.034687191247940063
1715210578.8226068,470000,-0.07484681904315948
1715210611.9028537,480000,-0.13059672713279724
1715210645.1410131,490000,-0.008166609331965446
1715210679.0388641,500000,-0.09505219757556915
1715210712.799899,510000,-0.037244848906993866
1715210746.4853625,520000,-0.05842234194278717
1715210780.6621747,530000,-0.03701070696115494
1715210814.5769098,540000,0.01496278028935194
1715210847.9343634,550000,-0.011512596160173416
1715210881.616721,560000,0.028324980288743973
1715210915.8428023,570000,0.0611860528588295
1715210950.4998527,580000,0.03392932564020157
1715210984.971853,590000,-0.004273176658898592
1715211020.4101105,600000,0.04420662298798561
1715211055.3306003,610000,0.1132926270365715
1715211090.2187243,620000,0.02183188498020172
1715211125.6045744,630000,-0.012640123255550861
1715211160.6218657,640000,-0.04953029751777649
