Wall time,Step,Value
1712520569.7157042,10000,60.52941131591797
1712520835.2674952,20000,127.265625
1712521099.2521582,30000,117.31034851074219
1712521348.3405917,40000,125.13043212890625
1712521587.8249533,50000,120.66216278076172
1712521858.49322,60000,118.79310607910156
1712522129.5582676,70000,126.66972351074219
1712522379.9266827,80000,120.34693908691406
1712522696.0489526,90000,120.42241668701172
1712522969.2301323,100000,115.36363983154297
1712523243.340154,110000,124.78845977783203
1712523507.0648882,120000,122.33783721923828
1712523761.7336416,130000,125.0243911743164
1712524013.0165849,140000,119.36363983154297
1712524284.3591356,150000,132.2142791748047
1712524555.2983527,160000,121.72916412353516
1712524824.7857769,170000,120.67692565917969
1712525113.290344,180000,121.04210662841797
1712525379.9159567,190000,122.01408386230469
1712525658.0220568,200000,123.3522720336914
1712525911.5202754,210000,124.68354797363281
1712526181.4823751,220000,123.39436340332031
1712526453.5134964,230000,120.86138916015625
1712526713.3713024,240000,119.78787994384766
1712526994.0315983,250000,122.04166412353516
1712527254.8498747,260000,126.359375
1712527522.3460875,270000,122.36264038085938
1712527781.1831198,280000,117.80487823486328
1712528053.002879,290000,125.80000305175781
1712528329.1473417,300000,123.24390411376953
