Wall time,Step,Value
1714510998.4164066,10000,0.7219241261482239
1714511055.441952,20000,-0.41117945313453674
1714511116.73557,30000,-0.034130316227674484
1714511175.6278248,40000,-0.7764231562614441
1714511231.609485,50000,0.13202409446239471
1714511288.148686,60000,-0.6985100507736206
1714511346.0176132,70000,-1.1830198764801025
1714511406.7396648,80000,-1.4171154499053955
1714511463.1137598,90000,-1.4372140169143677
1714511521.1524882,100000,-1.5108528137207031
1714511576.4652026,110000,-1.4927754402160645
1714511634.489552,120000,-1.4244717359542847
1714511697.4530213,130000,-1.597618579864502
1714511754.5971649,140000,-1.5011792182922363
1714511811.2377584,150000,-1.525471568107605
1714511867.9317439,160000,-1.5881356000900269
1714511930.919497,170000,-1.5921900272369385
1714511992.35846,180000,-1.5934938192367554
1714512050.9941318,190000,-1.6723734140396118
1714512116.57787,200000,-1.7137212753295898
1714512177.4931023,210000,-1.7550089359283447
1714512240.15452,220000,-1.6442738771438599
1714512311.5903172,230000,-1.7084720134735107
1714512371.2398303,240000,-1.7323668003082275
1714512439.102441,250000,-1.6917517185211182
1714512505.4023676,260000,-1.7229714393615723
1714512563.2304218,270000,-1.7206794023513794
1714512626.5054667,280000,-1.7069146633148193
1714512691.2746973,290000,-1.7886775732040405
1714512756.2679684,300000,-1.6725982427597046
1714512812.7497094,310000,-1.8008345365524292
1714512880.0140853,320000,-1.7300106287002563
1714512938.290123,330000,-1.7717013359069824
1714512995.4699724,340000,-1.6968764066696167
1714513052.8205466,350000,-1.7152100801467896
1714513125.7602975,360000,-1.714859962463379
1714513182.5172448,370000,-1.6535011529922485
1714513241.2837017,380000,-1.6902155876159668
1714513300.2346132,390000,-1.584766149520874
1714513361.708019,400000,-1.6459519863128662
1714513415.7624404,410000,-1.5900144577026367
1714513471.2891614,420000,-1.5757818222045898
1714513525.8145983,430000,-1.6039742231369019
1714513581.5564375,440000,-1.511351227760315
1714513636.9880242,450000,-1.5689854621887207
1714513691.918606,460000,-1.5835517644882202
1714513741.1726174,470000,-1.575314998626709
1714513793.167272,480000,-1.6052957773208618
1714513845.838351,490000,-1.5900905132293701
1714513900.2859426,500000,-1.508460283279419
1714513956.320444,510000,-1.4364492893218994
1714514010.9900734,520000,-1.4771487712860107
1714514062.0573604,530000,-1.4326088428497314
1714514118.3362758,540000,-1.4488571882247925
1714514174.1585994,550000,-1.3327021598815918
1714514229.489374,560000,-1.511346697807312
1714514279.6848967,570000,-1.3793740272521973
1714514330.965946,580000,-1.1981823444366455
1714514378.9809813,590000,-1.4143668413162231
1714514426.04785,600000,-1.4231507778167725
1714514476.5639925,610000,-1.3658266067504883
1714514526.1243546,620000,-1.3827193975448608
1714514570.1731703,630000,-1.1814525127410889
1714514618.2189314,640000,-1.194016695022583
1714514669.578401,650000,-1.286769986152649
1714514717.7897718,660000,-1.240092158317566
1714514759.0316017,670000,-1.1746890544891357
1714514810.885052,680000,-1.1337428092956543
1714514857.4041328,690000,-1.2617723941802979
1714514904.7608602,700000,-1.229466199874878
1714514944.8395782,710000,-1.2706412076950073
1714514987.042345,720000,-1.132922649383545
1714515031.5715878,730000,-1.1186728477478027
1714515077.208643,740000,-1.214471697807312
1714515123.5308497,750000,-1.3177980184555054
1714515167.0672245,760000,-1.0724939107894897
1714515206.874489,770000,-1.1434046030044556
1714515250.0534148,780000,-1.281739354133606
1714515300.2391884,790000,-1.1667946577072144
1714515342.9846323,800000,-1.1141705513000488
1714515388.6511827,810000,-1.1326111555099487
1714515429.767182,820000,-1.0958434343338013
1714515472.007749,830000,-1.216878056526184
1714515520.2565742,840000,-1.1297484636306763
1714515564.7760098,850000,-0.9819522500038147
1714515605.6232374,860000,-1.0627939701080322
1714515644.7841651,870000,-1.0613075494766235
1714515688.3358107,880000,-0.9447472095489502
1714515733.1225417,890000,-1.006102204322815
1714515775.0164664,900000,-0.9407631754875183
1714515814.4657462,910000,-1.027142882347107
1714515853.5089598,920000,-1.0850508213043213
1714515892.7339468,930000,-1.1262763738632202
1714515933.449781,940000,-1.0113341808319092
1714515969.6241777,950000,-0.819236159324646
1714516010.5404243,960000,-0.9488764405250549
1714516059.9540377,970000,-1.0324424505233765
1714516100.3556902,980000,-0.8423104286193848
1714516145.6471648,990000,-0.9786968231201172
1714516190.2449586,1000000,-0.7607143521308899
1714516231.8184233,1010000,-0.9446117281913757
1714516270.4471424,1020000,-0.7943100929260254
1714516307.3015878,1030000,-0.8552742004394531
1714516344.781014,1040000,-0.8646837472915649
1714516382.7754428,1050000,-0.7095497250556946
1714516421.7036827,1060000,-0.7660121321678162
1714516459.9987369,1070000,-0.7329347729682922
1714516500.0542245,1080000,-0.7847155332565308
1714516538.4255908,1090000,-0.7143151760101318
1714516577.1164818,1100000,-0.7998770475387573
1714516617.8944654,1110000,-0.8019000887870789
1714516655.735271,1120000,-0.7599183917045593
1714516691.8403716,1130000,-0.743895411491394
1714516730.4182189,1140000,-0.8111861944198608
1714516765.6456256,1150000,-0.7851865291595459
1714516801.7035224,1160000,-0.7165263891220093
1714516838.771874,1170000,-0.7336702942848206
1714516881.0433676,1180000,-0.8904494643211365
1714516921.7474065,1190000,-0.6388932466506958
1714516956.5809932,1200000,-0.7083221077919006
1714516993.8384073,1210000,-0.7239153385162354
1714517033.346615,1220000,-0.6922711133956909
1714517067.082147,1230000,-0.5725788474082947
1714517103.07449,1240000,-0.7091935873031616
1714517137.95381,1250000,-0.581387996673584
1714517173.1974776,1260000,-0.6969735026359558
1714517209.4955757,1270000,-0.611752986907959
1714517244.2202559,1280000,-0.6916904449462891
1714517278.1556768,1290000,-0.7177468538284302
1714517315.3966157,1300000,-0.7690842151641846
1714517352.8372035,1310000,-0.700441300868988
1714517388.1628222,1320000,-0.7122969627380371
1714517423.360877,1330000,-0.6382429599761963
1714517457.3931022,1340000,-0.6419394612312317
1714517496.7250354,1350000,-0.6242423057556152
1714517529.6570013,1360000,-0.5367407202720642
1714517566.1686685,1370000,-0.7053728699684143
1714517600.1628697,1380000,-0.6092250347137451
1714517638.0849314,1390000,-0.5910677909851074
1714517672.6207974,1400000,-0.8091403841972351
1714517707.8358426,1410000,-0.5876909494400024
1714517741.7979262,1420000,-0.6910607218742371
1714517777.0804849,1430000,-0.46895962953567505
1714517812.9252493,1440000,-0.6019745469093323
1714517849.4567285,1450000,-0.7127088904380798
1714517883.966216,1460000,-0.49147137999534607
1714517915.7985823,1470000,-0.479745090007782
1714517950.1086948,1480000,-0.5832393169403076
1714517983.4832244,1490000,-0.5149922966957092
1714518016.448901,1500000,-0.5852012634277344
1714518049.4619536,1510000,-0.5360708832740784
1714518084.1381814,1520000,-0.4958230257034302
1714518120.919634,1530000,-0.6479464769363403
1714518154.958742,1540000,-0.5575622320175171
1714518192.550649,1550000,-0.558140754699707
1714518226.7165246,1560000,-0.5739269256591797
1714518261.0437264,1570000,-0.6141167879104614
1714518298.7817447,1580000,-0.48144516348838806
1714518332.6691668,1590000,-0.640727162361145
1714518367.9750378,1600000,-0.5572875142097473
1714518404.632593,1610000,-0.5467616319656372
1714518441.3493311,1620000,-0.6224799752235413
1714518477.5864725,1630000,-0.6320229172706604
1714518513.1089559,1640000,-0.6023753881454468
1714518547.114721,1650000,-0.5174525380134583
1714518583.5199716,1660000,-0.5656101107597351
1714518617.454534,1670000,-0.62701016664505
1714518649.5483363,1680000,-0.5914936065673828
1714518683.4195242,1690000,-0.4484172761440277
1714518717.5811203,1700000,-0.5770193934440613
1714518753.4732628,1710000,-0.6398001909255981
1714518788.6513574,1720000,-0.5486477613449097
1714518825.737418,1730000,-0.48053932189941406
1714518859.9670718,1740000,-0.5281857252120972
1714518893.8274574,1750000,-0.451000839471817
1714518928.337639,1760000,-0.5813338756561279
1714518964.1533015,1770000,-0.4503190517425537
1714518998.5915353,1780000,-0.45090046525001526
1714519032.2469194,1790000,-0.578471302986145
1714519070.2481074,1800000,-0.6402660608291626
1714519107.8889143,1810000,-0.5310820937156677
1714519146.1289861,1820000,-0.61006098985672
1714519180.1855366,1830000,-0.4969790279865265
1714519213.3851566,1840000,-0.4008483588695526
1714519247.276551,1850000,-0.5853949785232544
1714519285.153569,1860000,-0.5122891664505005
1714519322.236614,1870000,-0.47108063101768494
1714519356.4158394,1880000,-0.46391671895980835
1714519390.7611258,1890000,-0.4911361038684845
1714519423.0317047,1900000,-0.46873408555984497
1714519460.574919,1910000,-0.5233156681060791
1714519495.8964515,1920000,-0.4246419370174408
1714519528.855264,1930000,-0.4275572597980499
1714519564.3564055,1940000,-0.3889988660812378
1714519598.780747,1950000,-0.3416706919670105
1714519632.4342551,1960000,-0.45196661353111267
1714519667.8988626,1970000,-0.4491628110408783
1714519701.8319168,1980000,-0.4500097930431366
1714519736.0541608,1990000,-0.309382826089859
1714519769.4394264,2000000,-0.3552245795726776
1714519803.1274872,2010000,-0.43659886717796326
1714519836.5505993,2020000,-0.4496881365776062
1714519873.1114779,2030000,-0.38990518450737
1714519905.433447,2040000,-0.34589746594429016
1714519940.9064867,2050000,-0.4416031539440155
1714519974.22941,2060000,-0.40328335762023926
1714520007.5865123,2070000,-0.49150338768959045
1714520039.8226864,2080000,-0.2582259178161621
1714520074.5471065,2090000,-0.4268570840358734
1714520107.7197998,2100000,-0.43393540382385254
1714520143.8708758,2110000,-0.5301207900047302
1714520178.1357703,2120000,-0.274143785238266
1714520212.2452915,2130000,-0.3423478305339813
1714520246.020063,2140000,-0.45065194368362427
1714520278.1225946,2150000,-0.3587091863155365
1714520309.8538058,2160000,-0.36798644065856934
1714520343.1969965,2170000,-0.36221110820770264
1714520379.444143,2180000,-0.39757880568504333
1714520411.8995116,2190000,-0.4849727153778076
1714520444.3565395,2200000,-0.36648744344711304
1714520476.3647273,2210000,-0.31627127528190613
1714520511.1748874,2220000,-0.33552777767181396
1714520545.552866,2230000,-0.32313916087150574
1714520578.9248583,2240000,-0.28731608390808105
1714520613.1962554,2250000,-0.35053905844688416
1714520645.626604,2260000,-0.4123820960521698
1714520679.5280669,2270000,-0.3183656930923462
1714520712.6614952,2280000,-0.4760185480117798
1714520745.0187168,2290000,-0.2953488826751709
1714520776.548128,2300000,-0.4427125155925751
1714520811.491811,2310000,-0.26025110483169556
1714520844.6928146,2320000,-0.38589996099472046
1714520877.9154599,2330000,-0.3757319152355194
1714520910.097544,2340000,-0.2439034879207611
1714520941.6650825,2350000,-0.2670014202594757
1714520973.5108814,2360000,-0.2971281111240387
1714521009.5655515,2370000,-0.3801279067993164
1714521040.9056082,2380000,-0.3336624503135681
1714521074.1255994,2390000,-0.3840387165546417
1714521109.164594,2400000,-0.3273964524269104
1714521143.1803467,2410000,-0.31181249022483826
1714521173.565673,2420000,-0.4084813594818115
1714521203.834546,2430000,-0.3571404814720154
1714521239.6104698,2440000,-0.2719290554523468
1714521273.1203945,2450000,-0.32267966866493225
1714521304.8936584,2460000,-0.3093887269496918
1714521337.5646899,2470000,-0.26677849888801575
1714521371.9322822,2480000,-0.3009655177593231
1714521407.3763475,2490000,-0.2540992200374603
1714521440.9088883,2500000,-0.38828837871551514
1714521474.8093681,2510000,-0.2627425193786621
1714521506.67345,2520000,-0.36557266116142273
1714521539.5950224,2530000,-0.284483402967453
1714521572.611311,2540000,-0.35130825638771057
1714521603.3974106,2550000,-0.3767489790916443
1714521634.5308845,2560000,-0.37889760732650757
1714521666.8075328,2570000,-0.37646955251693726
1714521698.715317,2580000,-0.3807397484779358
1714521731.345066,2590000,-0.38559091091156006
1714521762.571326,2600000,-0.25327274203300476
1714521792.2367148,2610000,-0.3841608762741089
1714521827.1154706,2620000,-0.3318711817264557
1714521862.5294464,2630000,-0.2641122043132782
1714521893.7174246,2640000,-0.2720639109611511
1714521924.6429315,2650000,-0.18115703761577606
1714521953.8586054,2660000,-0.29888615012168884
1714521988.877663,2670000,-0.32944315671920776
1714522025.95196,2680000,-0.39408817887306213
1714522059.9210925,2690000,-0.2797451615333557
1714522095.647423,2700000,-0.30192795395851135
1714522128.7084308,2710000,-0.362516313791275
1714522166.396158,2720000,-0.4890507459640503
1714522199.422663,2730000,-0.31641921401023865
1714522233.4130344,2740000,-0.1848152130842209
1714522268.8251343,2750000,-0.33703169226646423
1714522304.4919388,2760000,-0.27823105454444885
1714522336.916431,2770000,-0.3854304850101471
1714522368.6965604,2780000,-0.26323673129081726
1714522404.8342524,2790000,-0.26714396476745605
1714522438.655272,2800000,-0.3242696523666382
1714522470.6252887,2810000,-0.2566576600074768
1714522504.4510682,2820000,-0.22962374985218048
1714522536.33685,2830000,-0.40465468168258667
1714522571.6530545,2840000,-0.26280325651168823
1714522606.1685948,2850000,-0.3019312024116516
1714522638.6400292,2860000,-0.2229354828596115
1714522672.2558122,2870000,-0.3900003433227539
1714522704.866797,2880000,-0.32255440950393677
1714522738.369955,2890000,-0.36254018545150757
1714522770.652158,2900000,-0.20924775302410126
1714522806.9436045,2910000,-0.26898103952407837
1714522839.5159001,2920000,-0.31377601623535156
